County,Registered Voters,A_Election_Day,A_Vote_By_Mail,A_Total _Votes,R_Election_Day,R_Vote_By_Mail,R_Total_Votes,Total
2001,9,17,6,23,14,3,17,40
2002,2731,82,1508,1590,42,532,574,2164
2005,1751,37,1040,1077,30,334,364,1441
2006,81,1,43,44,1,16,17,61
2009,4365,113,2289,2402,94,931,1025,3427
2013,3559,79,1967,2046,60,780,840,2886
2014,3297,111,1559,1670,65,783,848,2518
2018,142,2,58,60,7,33,40,100
2025,4073,59,2258,2317,63,883,946,3263
2043,3095,54,1808,1862,47,668,715,2577
2046,4236,111,2423,2534,70,788,858,3392
2057,3967,97,2275,2372,66,769,835,3207
2068,3755,74,2168,2242,51,798,849,3091
2098,4126,90,2150,2240,62,937,999,3239
2108,3462,69,2017,2086,46,709,755,2841
2125,366,3,207,210,4,77,81,291
2274,276,3,121,124,2,80,82,206
2275,1173,21,566,587,31,310,341,928
2278,1128,30,544,574,31,275,306,880
2281,6,0,0,0,0,5,5,5
2282,1413,26,700,726,31,371,402,1128
2285,2532,63,1228,1291,64,708,772,2063
2301,3636,51,1906,1957,57,888,945,2902
2305,4846,103,2603,2706,74,1160,1234,3940
2309,1231,11,665,676,27,305,332,1008
2314,2828,49,1432,1481,49,802,851,2332
2317,2707,69,1387,1456,32,706,738,2194
2330,4245,57,2227,2284,53,1176,1229,3513
2338,167,4,69,73,1,49,50,123
2351,2398,40,1242,1282,33,665,698,1980
2353,43,2,12,14,4,11,15,29
2539,258,2,93,95,3,33,36,131
2542,2081,124,829,953,73,362,435,1388
2545,2367,68,1421,1489,29,331,360,1849
2720,1633,30,668,698,24,579,603,1301
2721,1433,20,587,607,23,450,473,1080
2723,3283,41,1498,1539,57,978,1035,2574
2724,2596,58,1115,1173,54,764,818,1991
2725,2504,54,1077,1131,41,697,738,1869
2726,1642,36,656,692,40,481,521,1213
2727,1809,20,827,847,26,557,583,1430
2729,1933,19,948,967,21,552,573,1540
2734,2730,45,1186,1231,56,753,809,2040
2740,3015,51,1299,1350,64,892,956,2306
2751,25,0,7,7,0,9,9,16
2761,4,0,0,0,0,4,4,4
2802,2580,49,1265,1314,43,726,769,2083
2808,107,1,38,39,1,39,40,79
2810,24,0,13,13,0,8,8,21
2811,37,0,16,16,0,13,13,29
2812,303,6,137,143,8,77,85,228
2813,255,1,121,122,2,71,73,195
2816,25,0,12,12,0,8,8,20
2870,133,2,72,74,3,31,34,108
2951,323,7,115,122,15,101,116,238
3402,3488,68,1824,1892,58,768,826,2718
3406,3417,124,1488,1612,101,801,902,2514
3407,3434,76,1680,1756,52,836,888,2644
3408,4039,105,2027,2132,91,983,1074,3206
3409,4109,97,1950,2047,113,994,1107,3154
3410,4179,84,1985,2069,86,1155,1241,3310
3417,3754,76,1956,2032,59,867,926,2958
3427,3240,88,1545,1633,66,843,909,2542
3434,2385,32,1349,1381,35,569,604,1985
3438,4335,66,2257,2323,73,1131,1204,3527
3445,4000,89,1921,2010,70,1060,1130,3140
3669,3,0,2,2,0,0,0,2
3777,1745,25,808,833,24,540,564,1397
3779,146,0,55,55,3,46,49,104
3782,421,7,157,164,5,151,156,320
3783,423,4,182,186,6,124,130,316
3801,1711,53,746,799,33,519,552,1351
3802,2793,52,1266,1318,57,767,824,2142
3803,2482,45,1060,1105,42,702,744,1849
3804,1112,31,539,570,34,260,294,864
3810,2257,77,883,960,59,585,644,1604
3811,2865,53,1257,1310,65,747,812,2122
3814,2713,69,1054,1123,69,818,887,2010
3820,2323,46,960,1006,49,710,759,1765
3821,1089,25,421,446,20,313,333,779
3825,1427,40,569,609,39,436,475,1084
3828,1215,18,489,507,27,417,444,951
3835,1393,20,575,595,16,496,512,1107
3840,2253,53,964,1017,53,588,641,1658
3846,117,1,54,55,1,31,32,87
3861,82,1,29,30,2,27,29,59
4665,38,0,13,13,1,10,11,24
4666,7,0,5,5,0,0,0,5
4671,1844,25,724,749,53,669,722,1471
4672,1031,18,401,419,17,382,399,818
4674,1594,35,616,651,38,592,630,1281
4675,3153,62,1180,1242,104,1166,1270,2512
4685,1707,22,702,724,31,588,619,1343
4687,1777,23,708,731,36,676,712,1443
4688,3379,53,1267,1320,63,1350,1413,2733
4691,2285,41,862,903,50,841,891,1794
4696,1356,11,512,523,20,531,551,1074
4698,1201,11,458,469,26,449,475,944
4699,1732,24,678,702,28,668,696,1398
4702,1089,19,424,443,20,396,416,859
4715,641,11,201,212,9,232,241,453
4733,51,2,18,20,2,16,18,38
5556,1648,69,675,744,40,347,387,1131
5557,1052,21,471,492,17,289,306,798
5567,616,15,260,275,13,147,160,435
5742,18,0,3,3,0,6,6,9
5743,587,16,296,312,17,131,148,460
5745,493,10,227,237,13,136,149,386
5747,988,12,431,443,16,311,327,770
5748,1927,80,854,934,54,453,507,1441
5756,103,2,45,47,0,28,28,75
5758,187,1,69,70,1,68,69,139
5759,477,5,198,203,10,155,165,368
5762,298,3,125,128,4,92,96,224
5763,82,2,40,42,4,23,27,69
5770,181,0,69,69,3,73,76,145
5775,373,3,154,157,1,112,113,270
5785,0,0,0,0,0,0,0,0
5793,0,0,0,0,0,0,0,0
5795,3,0,2,2,0,0,0,2
5804,1276,26,534,560,17,346,363,923
5810,415,8,163,171,10,107,117,288
5811,327,6,105,111,7,114,121,232
5813,60,2,26,28,2,17,19,47
5814,263,6,108,114,4,66,70,184
5854,2,0,1,1,0,1,1,2
5901,1,0,0,0,0,0,0,0
5902,496,10,191,201,8,165,173,374
5903,679,12,245,257,27,213,240,497
5907,9,0,2,2,0,6,6,8
5927,1,0,0,0,0,1,1,1
6023,18,0,5,5,0,6,6,11
6624,7,0,3,3,0,4,4,7
6625,5,0,5,5,0,0,0,5
6669,85,0,39,39,1,30,31,70
6678,61,0,21,21,1,29,30,51
7001,2136,71,755,826,55,559,614,1440
7005,2719,88,1079,1167,55,653,708,1875
7012,2078,39,791,830,45,696,741,1571
7014,2416,39,1005,1044,44,746,790,1834
7019,3976,114,1501,1615,99,1116,1215,2830
7025,3425,97,1415,1512,57,845,902,2414
7038,321,6,129,135,7,113,120,255
7041,3457,112,1275,1387,92,911,1003,2390
7044,2098,56,816,872,46,536,582,1454
7046,3396,108,1356,1464,74,897,971,2435
7059,549,18,218,236,19,138,157,393
7061,2225,49,994,1043,37,637,674,1717
7062,2982,91,1159,1250,48,850,898,2148
7079,2131,35,896,931,47,628,675,1606
7081,1922,32,848,880,41,564,605,1485
7089,1362,17,594,611,21,392,413,1024
8003,2865,66,1279,1345,60,793,853,2198
8011,492,9,235,244,4,127,131,375
8012,16,0,8,8,1,6,7,15
8013,109,2,36,38,2,29,31,69
8030,1148,31,425,456,28,294,322,778
8033,282,8,111,119,0,72,72,191
8034,290,9,112,121,7,50,57,178
8040,630,19,291,310,21,127,148,458
8047,2162,51,942,993,48,576,624,1617
8049,59,0,23,23,2,9,11,34
8050,1860,54,773,827,32,441,473,1300
8053,2999,74,1319,1393,50,721,771,2164
8062,3284,99,1344,1443,65,778,843,2286
8068,49,2,25,27,2,7,9,36
8104,164,2,82,84,2,48,50,134
8128,10,0,0,0,0,0,0,0
8601,586,23,228,251,13,156,169,420
8603,2632,62,1132,1194,59,737,796,1990
8605,3541,87,1461,1548,84,949,1033,2581
8610,1728,36,777,813,38,497,535,1348
8619,815,17,390,407,8,230,238,645
8627,1434,28,621,649,40,390,430,1079
8629,2148,47,862,909,53,587,640,1549
8630,2906,58,1216,1274,71,813,884,2158
8645,3394,61,1474,1535,78,960,1038,2573
8650,421,6,161,167,14,123,137,304
8653,260,3,103,106,5,97,102,208
8654,311,11,137,148,7,75,82,230
8655,0,0,0,0,0,0,0,0
8657,766,11,310,321,22,233,255,576
8658,3874,80,1553,1633,85,1166,1251,2884
8670,2848,79,1058,1137,66,655,721,1858
8675,1559,60,623,683,39,414,453,1136
8680,2189,38,984,1022,39,676,715,1737
8683,3591,64,1545,1609,73,1068,1141,2750
8687,3452,86,1370,1456,77,1019,1096,2552
8697,3637,73,1506,1579,81,1044,1125,2704
8832,2104,40,906,946,38,612,650,1596
8834,1266,39,478,517,31,293,324,841
8838,300,13,115,128,4,87,91,219
8857,1646,23,706,729,30,534,564,1293
8858,2376,39,1072,1111,46,693,739,1850
8862,2560,54,1020,1074,55,765,820,1894
8879,3228,52,1336,1388,68,1012,1080,2468
8883,3404,81,1311,1392,89,1127,1216,2608
8885,3137,55,1177,1232,69,1102,1171,2403
8886,357,2,145,147,0,142,142,289
8889,2680,37,1043,1080,58,933,991,2071
8898,2737,44,1137,1181,43,934,977,2158
8903,3460,46,1372,1418,54,1191,1245,2663
8923,4,0,0,0,0,3,3,3
8924,17,0,7,7,0,6,6,13
Total:,332297,7206,149838,157044,6618,91076,97694,254738
